run_name,budget,query_concept,count,count_std
neural_baseline_lambda_s_0,4,music_composition,0.0,0.0
neural_baseline_lambda_s_0,4,nutrition_or_diet_guidance,0.0,0.0
neural_baseline_lambda_s_0,4,online_public_presence,0.0,0.0
neural_baseline_lambda_s_0,4,organizational_role_or_administration,0.0,0.0
neural_baseline_lambda_s_0,4,parent_role_mentions,0.0,0.0
neural_baseline_lambda_s_0,4,public_presence_or_recognition,0.0,0.0
neural_baseline_lambda_s_0,4,public_speaking_or_events,0.0,0.0
neural_baseline_lambda_s_0,4,religious_ministry,0.0,0.0
neural_baseline_lambda_s_0,4,reporting_or_news_work,0.0,0.0
neural_baseline_lambda_s_0,4,research_publications,0.0,0.0
neural_baseline_lambda_s_0,4,scientific_or_lab_research,0.0,0.0
neural_baseline_lambda_s_0,4,software_development,0.0,0.0
neural_baseline_lambda_s_0,4,spouse_or_partner_mentions,0.0,0.0
neural_baseline_lambda_s_0,4,surgical_work,0.0,0.0
neural_baseline_lambda_s_0,4,teaching_or_instruction,0.0,0.0
neural_baseline_lambda_s_0,4,technical_infrastructure,0.0,0.0
neural_baseline_lambda_s_0,4,therapy_or_counseling,0.0,0.0
neural_baseline_lambda_s_0,4,university_affiliation,0.0,0.0
neural_baseline_lambda_s_0,5,live_music_or_recording,314.0,306.92099960739085
neural_baseline_lambda_s_0,5,clinical_care,285.6,220.22102533591112
neural_baseline_lambda_s_0,5,dental_or_oral_health,256.2,241.52163464170243
neural_baseline_lambda_s_0,5,design_work,233.2,395.6048533574885
neural_baseline_lambda_s_0,5,visual_art_practice,220.8,298.7418618138409
neural_baseline_lambda_s_0,5,creative_or_artistic_work,218.2,309.74376507042075
neural_baseline_lambda_s_0,5,legal_or_regulatory_work,191.0,205.4105644800189
neural_baseline_lambda_s_0,5,literary_writing,82.6,184.69921494148264
neural_baseline_lambda_s_0,5,nursing_care,79.6,177.99101100898326
neural_baseline_lambda_s_0,5,technical_or_engineering_work,73.8,123.54027683310412
neural_baseline_lambda_s_0,5,film_or_video_production,33.0,45.2990066116245
neural_baseline_lambda_s_0,5,male_pronouns,10.6,23.70232056149777
neural_baseline_lambda_s_0,5,female_pronouns,1.4,3.1304951684997055
neural_baseline_lambda_s_0,5,advanced_degree_or_training,0.0,0.0
neural_baseline_lambda_s_0,5,appearance_or_body_presentation,0.0,0.0
neural_baseline_lambda_s_0,5,building_or_spatial_design,0.0,0.0
neural_baseline_lambda_s_0,5,business_or_client_service,0.0,0.0
neural_baseline_lambda_s_0,5,business_or_management_education,0.0,0.0
neural_baseline_lambda_s_0,5,camera_or_photography_work,0.0,0.0
neural_baseline_lambda_s_0,5,celebrity_or_public_attention,0.0,0.0
neural_baseline_lambda_s_0,5,child_or_family_care_mentions,0.0,0.0
neural_baseline_lambda_s_0,5,classroom_instruction,0.0,0.0
neural_baseline_lambda_s_0,5,comedy_or_stage_performance,0.0,0.0
neural_baseline_lambda_s_0,5,education_or_academic_work,0.0,0.0
neural_baseline_lambda_s_0,5,fashion_or_modeling_work,0.0,0.0
neural_baseline_lambda_s_0,5,female_gendered_titles,0.0,0.0
neural_baseline_lambda_s_0,5,financial_or_accounting_work,0.0,0.0
neural_baseline_lambda_s_0,5,fitness_instruction,0.0,0.0
neural_baseline_lambda_s_0,5,gendered_organization_or_award,0.0,0.0
neural_baseline_lambda_s_0,5,health_or_wellness_work,0.0,0.0
neural_baseline_lambda_s_0,5,interior_or_decorative_design,0.0,0.0
neural_baseline_lambda_s_0,5,legal_practice,0.0,0.0
neural_baseline_lambda_s_0,5,legal_support_work,0.0,0.0
neural_baseline_lambda_s_0,5,male_gendered_titles,0.0,0.0
neural_baseline_lambda_s_0,5,management_or_leadership,0.0,0.0
neural_baseline_lambda_s_0,5,manual_body_treatment,0.0,0.0
