run_name,seed,budget,accuracy,macro_f1,mean_confidence
neural_baseline_lambda_s_0,4,1,0.0675,0.010234834884922855,0.08014128357172012
neural_baseline_lambda_s_0,4,2,0.128,0.035659091333064954,0.13376112282276154
neural_baseline_lambda_s_0,4,3,0.198,0.10464026910633592,0.22045080363750458
neural_baseline_lambda_s_0,4,4,0.273,0.1900484617121147,0.2875712215900421
neural_baseline_lambda_s_0,4,5,0.3085,0.23771160435747624,0.33386555314064026
neural_baseline_lambda_s_0,4,6,0.3215,0.26710817179454044,0.3378339111804962
neural_baseline_lambda_s_0,4,7,0.329,0.2796563845113798,0.3340815305709839
neural_baseline_lambda_s_0,4,8,0.3325,0.2745328235139234,0.3363572359085083
neural_baseline_lambda_s_0,4,9,0.371,0.33487922522708546,0.36334070563316345
neural_baseline_lambda_s_0,4,10,0.393,0.35252213403200516,0.39007195830345154
neural_baseline_lambda_s_0,4,11,0.4105,0.3826055266496093,0.4105715751647949
neural_baseline_lambda_s_0,4,12,0.456,0.438545099178108,0.45440131425857544
neural_baseline_lambda_s_0,4,13,0.476,0.4620735232090413,0.46591809391975403
neural_baseline_lambda_s_0,4,14,0.503,0.4907090867896975,0.47566816210746765
neural_baseline_lambda_s_0,4,15,0.508,0.4973642300924398,0.48089396953582764
neural_baseline_lambda_s_0,4,16,0.518,0.5095477489286232,0.48426416516304016
neural_baseline_lambda_s_0,4,17,0.5275,0.5189858900086631,0.48323285579681396
neural_baseline_lambda_s_0,4,18,0.532,0.530290735445859,0.48716267943382263
neural_baseline_lambda_s_0,4,19,0.532,0.5367448334888764,0.49137699604034424
neural_baseline_lambda_s_0,4,20,0.544,0.5459423919266098,0.4933890402317047
neural_claq_lambda_s_0_4,4,0,0.0355,0.0024487825067255296,0.0484049990773201
neural_claq_lambda_s_0_4,4,1,0.0675,0.009532134376477439,0.09190844744443893
neural_claq_lambda_s_0_4,4,2,0.118,0.046300787053420736,0.14302654564380646
neural_claq_lambda_s_0_4,4,3,0.173,0.07989119104001427,0.20499102771282196
neural_claq_lambda_s_0_4,4,4,0.2545,0.1666909472012432,0.2910091280937195
neural_claq_lambda_s_0_4,4,5,0.306,0.23254496880018644,0.35893532633781433
neural_claq_lambda_s_0_4,4,6,0.322,0.2547372363524666,0.3709963858127594
neural_claq_lambda_s_0_4,4,7,0.328,0.26960068004195376,0.38319772481918335
neural_claq_lambda_s_0_4,4,8,0.333,0.27184778889957484,0.3831886649131775
neural_claq_lambda_s_0_4,4,9,0.3455,0.28354900044223497,0.38678690791130066
neural_claq_lambda_s_0_4,4,10,0.358,0.3122332137794743,0.3985830545425415
neural_claq_lambda_s_0_4,4,11,0.391,0.3433604908386904,0.4135722517967224
neural_claq_lambda_s_0_4,4,12,0.4155,0.38719482436564884,0.43429887294769287
