run_name,seed,budget,accuracy,macro_f1,mean_confidence
neural_claq_lambda_s_0_4,2,4,0.2625,0.18217563301133763,0.29348745942115784
neural_claq_lambda_s_0_4,2,5,0.3125,0.22852253560439256,0.3491401970386505
neural_claq_lambda_s_0_4,2,6,0.326,0.24680314992430435,0.361000657081604
neural_claq_lambda_s_0_4,2,7,0.334,0.2645845565483947,0.359963983297348
neural_claq_lambda_s_0_4,2,8,0.339,0.2674458567225058,0.3662365674972534
neural_claq_lambda_s_0_4,2,9,0.3665,0.30609151574667515,0.39369091391563416
neural_claq_lambda_s_0_4,2,10,0.4115,0.3626515670629016,0.4315280020236969
neural_claq_lambda_s_0_4,2,11,0.4235,0.3825025799446507,0.44003862142562866
neural_claq_lambda_s_0_4,2,12,0.4245,0.3809916340047112,0.4376830756664276
neural_claq_lambda_s_0_4,2,13,0.442,0.41361383984820144,0.4472147822380066
neural_claq_lambda_s_0_4,2,14,0.443,0.41803440031784245,0.4522360563278198
neural_claq_lambda_s_0_4,2,15,0.4615,0.43891791473859115,0.4613631069660187
neural_claq_lambda_s_0_4,2,16,0.4665,0.44598739013053174,0.4663851261138916
neural_claq_lambda_s_0_4,2,17,0.4895,0.4701973741551601,0.4784255921840668
neural_claq_lambda_s_0_4,2,18,0.5055,0.4901537790189701,0.4809962809085846
neural_claq_lambda_s_0_4,2,19,0.5035,0.4786970199070853,0.4819645285606384
neural_claq_lambda_s_0_4,2,20,0.517,0.49651398078532816,0.4845767915248871
neural_baseline_lambda_s_0,3,0,0.0355,0.0024487825067255296,0.04525238275527954
neural_baseline_lambda_s_0,3,1,0.0685,0.009761035588727327,0.07686465978622437
neural_baseline_lambda_s_0,3,2,0.124,0.042955882319859286,0.1420811414718628
neural_baseline_lambda_s_0,3,3,0.1915,0.1008122116070288,0.2284819334745407
neural_baseline_lambda_s_0,3,4,0.288,0.20163160428673815,0.30910417437553406
neural_baseline_lambda_s_0,3,5,0.36,0.28275473697273357,0.37345555424690247
neural_baseline_lambda_s_0,3,6,0.392,0.33428005505876507,0.4018958508968353
neural_baseline_lambda_s_0,3,7,0.402,0.3522057148895262,0.418618768453598
neural_baseline_lambda_s_0,3,8,0.4325,0.39149424176017844,0.43451473116874695
neural_baseline_lambda_s_0,3,9,0.4495,0.41398574703838636,0.4347638189792633
neural_baseline_lambda_s_0,3,10,0.4555,0.4216214737331754,0.43763190507888794
neural_baseline_lambda_s_0,3,11,0.4585,0.42522690696870624,0.4436066746711731
neural_baseline_lambda_s_0,3,12,0.4665,0.4352366765604861,0.4457118511199951
neural_baseline_lambda_s_0,3,13,0.486,0.4563629502717686,0.4660296142101288
neural_baseline_lambda_s_0,3,14,0.4865,0.4561287647916705,0.4748696982860565
neural_baseline_lambda_s_0,3,15,0.4815,0.4521059098267947,0.47431421279907227
neural_baseline_lambda_s_0,3,16,0.4755,0.44343293586723653,0.47318121790885925
